customer_id,first_name,last_name,email,phone,address,city,state,country,postal_code,customer_segment,created_date,modified_date
C0001,First1,Last1,customer1@example.com,+12169007150,6674 Main St,City1,State1,USA,50949,Premium,2019-01-01,2019-01-01
C0002,First2,Last2,customer2@example.com,+13168332815,3447 Main St,City2,State2,USA,72794,Premium,2019-01-02,2019-01-02
C0003,First3,Last3,customer3@example.com,+13294140423,7604 Main St,City3,State3,USA,22049,Regular,2019-01-03,2019-01-03
C0004,First4,Last4,customer4@example.com,+15430514206,1172 Main St,City4,State4,USA,65058,VIP,2019-01-04,2019-01-04
C0005,First5,Last5,customer5@example.com,+12642955418,8292 Main St,City5,State5,USA,97354,Wholesale,2019-01-05,2019-01-05
C0006,First6,Last6,customer6@example.com,+19350901112,449 Main St,City6,State6,USA,27279,Premium,2019-01-06,2019-01-06
C0007,First7,Last7,customer7@example.com,+15991114403,8987 Main St,City7,State7,USA,40465,Wholesale,2019-01-07,2019-01-07
C0008,First8,Last8,customer8@example.com,+13179630680,6395 Main St,City8,State8,USA,53383,VIP,2019-01-08,2019-01-08
C0009,First9,Last9,customer9@example.com,+17333872376,5282 Main St,City9,State9,USA,23881,VIP,2019-01-09,2019-01-09
C0010,First10,Last10,customer10@example.com,+16316584758,6168 Main St,City10,State10,USA,23446,Wholesale,2019-01-10,2019-01-10
C0011,First11,Last11,customer11@example.com,+18967747304,1799 Main St,City11,State11,USA,39602,Premium,2019-01-11,2019-01-11
C0012,First12,Last12,customer12@example.com,+17997518829,3910 Main St,City12,State12,USA,76893,Regular,2019-01-12,2019-01-12
C0013,First13,Last13,customer13@example.com,+15070967386,5766 Main St,City13,State13,USA,96207,Regular,2019-01-13,2019-01-13
C0014,First14,Last14,customer14@example.com,+13629086067,6693 Main St,City14,State14,USA,76621,Premium,2019-01-14,2019-01-14
C0015,First15,Last15,customer15@example.com,+13938382863,904 Main St,City15,State15,USA,74136,Wholesale,2019-01-15,2019-01-15
C0016,First16,Last16,customer16@example.com,+16308891964,5337 Main St,City16,State16,USA,52276,Regular,2019-01-16,2019-01-16
C0017,First17,Last17,customer17@example.com,+17343849683,4752 Main St,City17,State17,USA,72005,Regular,2019-01-17,2019-01-17
C0018,First18,Last18,customer18@example.com,+13238477233,1753 Main St,City18,State18,USA,46196,Regular,2019-01-18,2019-01-18
C0019,First19,Last19,customer19@example.com,+14059160100,7678 Main St,City19,State19,USA,82884,Wholesale,2019-01-19,2019-01-19
C0020,First20,Last20,customer20@example.com,+12016191590,6798 Main St,City20,State20,USA,71262,Wholesale,2019-01-20,2019-01-20
C0021,First21,Last21,customer21@example.com,+15087602046,9528 Main St,City21,State21,USA,94156,Premium,2019-01-21,2019-01-21
C0022,First22,Last22,customer22@example.com,+16387478266,1488 Main St,City22,State22,USA,93860,Wholesale,2019-01-22,2019-01-22
C0023,First23,Last23,customer23@example.com,+14326405521,7092 Main St,City23,State23,USA,97414,VIP,2019-01-23,2019-01-23
C0024,First24,Last24,customer24@example.com,+13335304891,1781 Main St,City24,State24,USA,24644,VIP,2019-01-24,2019-01-24
C0025,First25,Last25,customer25@example.com,+19007851922,6097 Main St,City25,State25,USA,42153,VIP,2019-01-25,2019-01-25
C0026,First26,Last26,customer26@example.com,+16366726454,8725 Main St,City26,State26,USA,65992,Wholesale,2019-01-26,2019-01-26
C0027,First27,Last27,customer27@example.com,+18310570744,7675 Main St,City27,State27,USA,44029,Premium,2019-01-27,2019-01-27
C0028,First28,Last28,customer28@example.com,+11063493847,259 Main St,City28,State28,USA,18645,Wholesale,2019-01-28,2019-01-28
C0029,First29,Last29,customer29@example.com,+12175615600,2166 Main St,City29,State29,USA,13443,Premium,2019-01-29,2019-01-29
C0030,First30,Last30,customer30@example.com,+14732168124,4553 Main St,City30,State30,USA,62389,Wholesale,2019-01-30,2019-01-30
C0031,First31,Last31,customer31@example.com,+19711033641,1315 Main St,City31,State31,USA,36838,Premium,2019-01-31,2019-01-31
C0032,First32,Last32,customer32@example.com,+12723615954,7345 Main St,City32,State32,USA,34774,Regular,2019-02-01,2019-02-01
