customer_id,first_name,last_name,email,phone,address,city,state,country,postal_code,customer_segment,created_date,modified_date
C1502,First1502,Last1502,customer1502@example.com,13601127112,9597 Main St,City2,State2,USA,78666,Wholesale,2023-02-10,2023-02-10
C2587,First2587,Last2587,customer2587@example.com,11839997781,9745 Main St,City87,State37,USA,31226,VIP,2026-01-30,2026-01-30
C2654,First2654,Last2654,customer2654@example.com,15368985813,2334 Main St,City54,State4,USA,71003,Premium,2026-04-07,2026-04-07
C1056,First1056,Last1056,customer1056@example.com,14353965278,8567 Main St,City56,State6,USA,72931,Wholesale,2021-11-21,2021-11-21
C0706,First706,Last706,customer706@example.com,15907947837,5672 Main St,City6,State6,USA,62804,Regular,2020-12-06,2020-12-06
C0107,First107,Last107,customer107@example.com,13841813580,3643 Main St,City7,State7,USA,77836,Regular,2019-04-17,2019-04-17
C0590,First590,Last590,customer590@example.com,16665897591,1201 Main St,City90,State40,USA,97931,Premium,2020-08-12,2020-08-12
C2469,First2469,Last2469,customer2469@example.com,12550752539,2446 Main St,City69,State19,USA,95511,Regular,2025-10-04,2025-10-04
C2414,First2414,Last2414,customer2414@example.com,11152300784,9297 Main St,City14,State14,USA,30548,Regular,2025-08-10,2025-08-10
C1601,First1601,Last1601,customer1601@example.com,18208321602,6669 Main St,City1,State1,USA,33344,Wholesale,2023-05-20,2023-05-20
C2465,First2465,Last2465,customer2465@example.com,19844001761,1621 Main St,City65,State15,USA,78441,Regular,2025-09-30,2025-09-30
C0229,First229,Last229,customer229@example.com,11119323588,1943 Main St,City29,State29,USA,12434,Regular,2019-08-17,2019-08-17
C0916,First916,Last916,customer916@example.com,18317677459,3948 Main St,City16,State16,USA,43439,Premium,2021-07-04,2021-07-04
C0795,First795,Last795,customer795@example.com,15402133499,1955 Main St,City95,State45,USA,36862,Premium,2021-03-05,2021-03-05
C3022,First3022,Last3022,customer3022@example.com,18122428665,7857 Main St,City22,State22,USA,94791,Wholesale,2027-04-10,2027-04-10
C3544,First3544,Last3544,customer3544@example.com,17912195330,4853 Main St,City44,State44,USA,30375,VIP,2028-09-13,2028-09-13
C1074,First1074,Last1074,customer1074@example.com,19625142859,7701 Main St,City74,State24,USA,25877,Regular,2021-12-09,2021-12-09
C3352,First3352,Last3352,customer3352@example.com,18906696361,8625 Main St,City52,State2,USA,59795,Wholesale,2028-03-05,2028-03-05
C1745,First1745,Last1745,customer1745@example.com,14767412789,4593 Main St,City45,State45,USA,37242,Regular,2023-10-11,2023-10-11
C1085,First1085,Last1085,customer1085@example.com,15618812838,2659 Main St,City85,State35,USA,59112,VIP,2021-12-20,2021-12-20
C0927,First927,Last927,customer927@example.com,11507313748,5710 Main St,City27,State27,USA,81975,Premium,2021-07-15,2021-07-15
C3050,First3050,Last3050,customer3050@example.com,18681695109,6094 Main St,City50,State50,USA,35600,Wholesale,2027-05-08,2027-05-08
C1118,First1118,Last1118,customer1118@example.com,11306251847,2811 Main St,City18,State18,USA,61960,Premium,2022-01-22,2022-01-22
C0643,First643,Last643,customer643@example.com,19511055050,6765 Main St,City43,State43,USA,14525,Regular,2020-10-04,2020-10-04
C4768,First4768,Last4768,customer4768@example.com,14049242085,9220 Main St,City68,State18,USA,98512,VIP,2032-01-20,2032-01-20
C0502,First502,Last502,customer502@example.com,18936165983,4831 Main St,City2,State2,USA,86243,Wholesale,2020-05-16,2020-05-16
C4067,First4067,Last4067,customer4067@example.com,19036957426,4830 Main St,City67,State17,USA,40198,Premium,2030-02-18,2030-02-18
C0334,First334,Last334,customer334@example.com,19629904241,787 Main St,City34,State34,USA,89869,VIP,2019-11-30,2019-11-30
C4685,First4685,Last4685,customer4685@example.com,15412892088,1593 Main St,City85,State35,USA,59143,Regular,2031-10-29,2031-10-29
C0487,First487,Last487,customer487@example.com,17520861762,5959 Main St,City87,State37,USA,12811,Wholesale,2020-05-01,2020-05-01
C1963,First1963,Last1963,customer1963@example.com,19502085939,7483 Main St,City63,State13,USA,45464,Regular,2024-05-16,2024-05-16
C0394,First394,Last394,customer394@example.com,18653421421,4174 Main St,City94,State44,USA,10121,Regular,2020-01-29,2020-01-29
C4843,First4843,Last4843,customer4843@example.com,17380510264,259 Main St,City43,State43,USA,82354,Regular,2032-04-04,2032-04-04
C4867,First4867,Last4867,customer4867@example.com,15938433350,4071 Main St,City67,State17,USA,11898,Regular,2032-04-28,2032-04-28
C1756,First1756,Last1756,customer1756@example.com,14744916355,7753 Main St,City56,State6,USA,52819,Regular,2023-10-22,2023-10-22
C2516,First2516,Last2516,customer2516@example.com,18248230372,9358 Main St,City16,State16,USA,73493,Premium,2025-11-20,2025-11-20
C3586,First3586,Last3586,customer3586@example.com,17802108755,6706 Main St,City86,State36,USA,13151,VIP,2028-10-25,2028-10-25
C4316,First4316,Last4316,customer4316@example.com,16566962401,6280 Main St,City16,State16,USA,39517,Premium,2030-10-25,2030-10-25
C4967,First4967,Last4967,customer4967@example.com,11563115572,2395 Main St,City67,State17,USA,66890,Premium,2032-08-06,2032-08-06
C2100,First2100,Last2100,customer2100@example.com,19844619160,4467 Main St,City100,State50,USA,99264,VIP,2024-09-30,2024-09-30
